Competência,País,UF,Município,Categoria,Sexo,Nível de Instrução,Salário,Faixa Etária,Carga Horária do Contrato,Status Migratório
202112,VENEZUELA,42,420320,101,1,4,"1480,00",2,6,Refugiado/Solicitante de Refúgio
202112,PARAGUAI,42,420540,101,3,4,"1467,00",4,6,Permanente
202112,HAITI,42,420820,101,3,4,"1404,00",3,6,Permanente
202112,VENEZUELA,42,420840,101,1,6,"1651,73",4,7,Sem Informação
202112,NATURALIDADE BRASILEIRA,42,421190,101,3,4,"979,22",3,5,Sem Informação
202112,VENEZUELA,42,421290,101,3,1,"1239,93",2,6,Sem Informação
202112,HAITI,43,430440,106,3,4,"3510,00",3,6,Permanente
202112,COLÔMBIA,43,431490,101,1,2,"1441,00",6,5,Sem Informação
202112,HAITI,43,431720,101,1,1,"1634,01",4,6,Sem Informação
202112,VENEZUELA,50,500270,101,3,4,"1218,00",6,6,Temporário
202112,VENEZUELA,50,500370,101,1,2,"1300,00",4,6,Refugiado/Solicitante de Refúgio
202112,HAITI,52,520110,101,3,6,"1118,31",4,6,Sem Informação
202112,HAITI,52,520870,101,1,4,"1366,94",4,7,Permanente
202112,SÍRIA,53,530010,101,1,5,"1808,87",3,5,Permanente
202201,ARGENTINA,15,150140,101,1,6,"62202,00",6,6,Sem Informação
202201,VENEZUELA,15,150360,101,1,4,"1100,00",2,6,Refugiado/Solicitante de Refúgio
202201,ITÁLIA,27,270430,101,3,4,"1212,00",7,6,Sem Informação
202201,REPÚBLICA DOMINICANA,31,317010,101,3,4,"1320,00",3,6,Sem Informação
202201,VENEZUELA,35,350850,101,3,4,"1668,89",6,6,Sem Informação
202201,ESTADOS UNIDOS,41,412220,101,1,5,"2257,20",3,6,Sem Informação
202201,ARGENTINA,42,999999,101,3,4,"1581,90",3,6,Permanente
202201,NATURALIDADE BRASILEIRA,33,999999,101,1,4,"2101,20",6,6,Permanente
202201,COLÔMBIA,52,999999,101,1,4,"1189,00",4,6,Permanente
202201,ESTADOS UNIDOS,33,999999,105,1,2,"48000,00",4,1,Sem Informação
202201,HAITI,51,999999,101,3,4,"1242,00",4,6,Permanente
202201,HAITI,42,999999,101,1,4,"1727,00",5,6,Permanente
202201,HAITI,43,999999,101,1,2,"1523,65",2,6,Permanente
202201,VENEZUELA,14,999999,101,1,4,"1907,00",5,6,Sem Informação
202201,BOLÍVIA,35,999999,101,1,4,"1776,00",4,6,Sem Informação
202201,VENEZUELA,51,999999,101,3,4,"2000,00",4,6,Sem Informação
202201,VENEZUELA,42,999999,101,1,4,"1470,00",2,6,Sem Informação
202201,VENEZUELA,11,999999,101,3,4,"1277,58",2,6,Sem Informação
202201,VENEZUELA,13,999999,101,3,4,"2119,78",3,6,Refugiado/Solicitante de Refúgio
202201,ESPANHA,35,999999,101,1,6,"25715,00",5,6,Sem Informação
202201,HAITI,35,999999,101,3,4,"1500,00",5,5,Sem Informação
202201,HAITI,51,999999,101,1,4,"1356,76",2,6,Refugiado/Solicitante de Refúgio
202201,VENEZUELA,42,999999,101,1,4,"1800,00",3,6,Temporário
202201,VENEZUELA,14,999999,101,1,1,"2000,00",6,6,Refugiado/Solicitante de Refúgio
202201,VENEZUELA,41,999999,101,1,4,"1577,40",5,6,Sem Informação
202201,NATURALIDADE BRASILEIRA,51,999999,101,1,3,"1212,00",2,6,Temporário
202201,NATURALIDADE BRASILEIRA,31,999999,101,1,4,"1452,02",5,6,Sem Informação
202201,VENEZUELA,14,999999,101,1,4,"1212,00",5,6,Permanente
202201,VENEZUELA,14,999999,101,1,4,"1212,00",4,6,Refugiado/Solicitante de Refúgio
202201,VENEZUELA,13,999999,101,3,4,"1045,00",4,6,Refugiado/Solicitante de Refúgio
202201,NATURALIDADE BRASILEIRA,15,999999,101,1,5,"1400,00",5,6,Sem Informação
202202,ESPANHA,31,310620,101,1,6,"19600,88",5,6,Temporário
202202,ARÁBIA SAUDITA,31,312230,101,1,4,"1200,00",6,6,Sem Informação
202202,NATURALIDADE BRASILEIRA,35,352710,101,1,2,"1918,40",4,6,Permanente
202202,LÍBANO,35,352840,101,1,4,"1295,50",5,6,Sem Informação
202202,NATURALIDADE BRASILEIRA,35,355280,101,1,4,"2010,65",4,6,Sem Informação
202202,ARÁBIA SAUDITA,52,520870,101,3,4,"2200,00",5,6,Sem Informação
202202,HOLANDA,35,999999,101,3,6,"2500,00",4,6,Sem Informação
202202,HAITI,41,999999,101,1,3,"2197,52",3,6,Sem Informação
202202,HAITI,35,999999,101,1,4,"1669,70",3,6,Refugiado/Solicitante de Refúgio
202202,VENEZUELA,50,999999,101,1,4,"1315,60",3,6,Sem Informação
202202,NATURALIDADE BRASILEIRA,41,999999,101,1,6,"14106,84",4,5,Sem Informação
202202,NATURALIDADE BRASILEIRA,35,999999,101,1,4,"1387,33",3,6,Sem Informação
202202,VENEZUELA,51,999999,101,1,4,"3000,00",6,6,Sem Informação
202202,VENEZUELA,43,999999,101,1,2,"1441,00",2,6,Refugiado/Solicitante de Refúgio
202202,ARGENTINA,43,999999,101,1,2,"1306,00",2,6,Sem Informação
202202,ARGENTINA,43,999999,101,1,2,"1306,00",3,6,Sem Informação
202202,NATURALIDADE BRASILEIRA,52,999999,101,1,4,"1939,44",4,6,Permanente
202202,HAITI,42,999999,101,1,4,"1931,60",4,6,Permanente
202202,ARGENTINA,43,999999,102,1,1,"1306,00",2,6,Sem Informação
202202,ARGENTINA,43,999999,102,1,2,"1306,00",6,6,Sem Informação
202202,ARGENTINA,43,999999,102,3,1,"1306,00",3,6,Sem Informação
202202,ARGENTINA,43,999999,102,1,2,"1306,00",2,6,Sem Informação
202202,ARGENTINA,43,999999,102,1,2,"1306,00",2,6,Sem Informação
202202,ARGENTINA,43,999999,102,1,1,"1306,00",2,6,Sem Informação
202202,ARGENTINA,43,999999,102,1,2,"1306,00",2,6,Sem Informação
202202,ARGENTINA,43,999999,102,1,1,"1306,00",2,6,Sem Informação
202202,VENEZUELA,13,999999,101,1,4,"2749,89",5,6,Sem Informação
202202,VENEZUELA,13,999999,101,1,4,"2749,89",4,6,Temporário
202202,VENEZUELA,13,999999,101,1,4,"2749,89",3,6,Refugiado/Solicitante de Refúgio
202202,HAITI,42,999999,101,3,4,"1467,00",3,6,Sem Informação
202202,VENEZUELA,13,999999,101,1,4,"1212,00",3,6,Sem Informação
